relative position (hh:mm:ss.ms),absolute position (hh:mm:ss.ms),Flow_DR
00:00:00.000,20:57:44.000,6.7553
00:00:00.500,20:57:44.500,7.3275
00:00:01.000,20:57:45.000,-2.6978
00:00:01.500,20:57:45.500,-9.975
00:00:02.000,20:57:46.000,-4.6052
00:00:02.500,20:57:46.500,4.8326
00:00:03.000,20:57:47.000,9.2135
00:00:03.500,20:57:47.500,3.7935
00:00:04.000,20:57:48.000,-8.6322
00:00:04.500,20:57:48.500,-7.1062
00:00:05.000,20:57:49.000,-2.3484
00:00:05.500,20:57:49.500,1.6541
00:00:06.000,20:57:50.000,7.1932
00:00:06.500,20:57:50.500,7.9424
00:00:07.000,20:57:51.000,5.7115
00:00:07.500,20:57:51.500,-7.0681
00:00:08.000,20:57:52.000,-8.4048
00:00:08.500,20:57:52.500,-4.0376
00:00:09.000,20:57:53.000,-0.9751
00:00:09.500,20:57:53.500,7.1413
00:00:10.000,20:57:54.000,7.5426
00:00:10.500,20:57:54.500,-7.0666
00:00:11.000,20:57:55.000,-5.8061
00:00:11.500,20:57:55.500,-2.3545
00:00:12.000,20:57:56.000,1.8723
00:00:12.500,20:57:56.500,7.5396
00:00:13.000,20:57:57.000,6.7736
00:00:13.500,20:57:57.500,-4.3962
00:00:14.000,20:57:58.000,-8.3926
00:00:14.500,20:57:58.500,-3.972
00:00:15.000,20:57:59.000,-1.149
00:00:15.500,20:57:59.500,4.2024
00:00:16.000,20:58:00.000,6.4364
00:00:16.500,20:58:00.500,5.4994
00:00:17.000,20:58:01.000,-6.6881
00:00:17.500,20:58:01.500,-6.9246
00:00:18.000,20:58:02.000,-3.0229
00:00:18.500,20:58:02.500,0.969
00:00:19.000,20:58:03.000,4.4786
00:00:19.500,20:58:03.500,6.1831
00:00:20.000,20:58:04.000,5.0005
00:00:20.500,20:58:04.500,-7.0009
00:00:21.000,20:58:05.000,-5.1531
00:00:21.500,20:58:05.500,-2.1134
00:00:22.000,20:58:06.000,1.442
00:00:22.500,20:58:06.500,3.9476
00:00:23.000,20:58:07.000,4.384
00:00:23.500,20:58:07.500,2.6994
00:00:24.000,20:58:08.000,-4.0483
00:00:24.500,20:58:08.500,-2.855
00:00:25.000,20:58:09.000,1.8693
00:00:25.500,20:58:09.500,4.2863
00:00:26.000,20:58:10.000,3.9109
00:00:26.500,20:58:10.500,-3.7172
00:00:27.000,20:58:11.000,-3.9567
00:00:27.500,20:58:11.500,-1.0437
00:00:28.000,20:58:12.000,4.8189
00:00:28.500,20:58:12.500,3.9827
00:00:29.000,20:58:13.000,-3.0839
00:00:29.500,20:58:13.500,-4.8311
00:00:30.000,20:58:14.000,-2.8031
00:00:30.500,20:58:14.500,0.8087
00:00:31.000,20:58:15.000,4.4328
00:00:31.500,20:58:15.500,4.3199
00:00:32.000,20:58:16.000,-4.0452
00:00:32.500,20:58:16.500,-4.4572
00:00:33.000,20:58:17.000,-2.4552
00:00:33.500,20:58:17.500,2.8489
00:00:34.000,20:58:18.000,3.9308
00:00:34.500,20:58:18.500,3.2838
00:00:35.000,20:58:19.000,-3.8728
00:00:35.500,20:58:19.500,-3.5722
00:00:36.000,20:58:20.000,-1.7014
00:00:36.500,20:58:20.500,3.9171
00:00:37.000,20:58:21.000,4.1032
00:00:37.500,20:58:21.500,1.7823
00:00:38.000,20:58:22.000,-4.7227
00:00:38.500,20:58:22.500,-3.4379
00:00:39.000,20:58:23.000,1.7457
00:00:39.500,20:58:23.500,4.564
00:00:40.000,20:58:24.000,5.1088
00:00:40.500,20:58:24.500,-1.1902
00:00:41.000,20:58:25.000,-5.9633
00:00:41.500,20:58:25.500,-4.2573
00:00:42.000,20:58:26.000,3.5371
00:00:42.500,20:58:26.500,5.3362
00:00:43.000,20:58:27.000,5.3255
00:00:43.500,20:58:27.500,-4.4298
00:00:44.000,20:58:28.000,-6.6439
00:00:44.500,20:58:28.500,-4.7502
00:00:45.000,20:58:29.000,4.355
00:00:45.500,20:58:29.500,5.9252
00:00:46.000,20:58:30.000,5.1607
00:00:46.500,20:58:30.500,-6.6454
00:00:47.000,20:58:31.000,-6.4928
00:00:47.500,20:58:31.500,-2.2889
00:00:48.000,20:58:32.000,6.1251
00:00:48.500,20:58:32.500,5.8962
00:00:49.000,20:58:33.000,-4.7823
00:00:49.500,20:58:33.500,-6.5966
00:00:50.000,20:58:34.000,-3.9842
00:00:50.500,20:58:34.500,4.8753
00:00:51.000,20:58:35.000,5.9343
00:00:51.500,20:58:35.500,2.9832
00:00:52.000,20:58:36.000,-6.122
00:00:52.500,20:58:36.500,-4.5305
00:00:53.000,20:58:37.000,1.3794
00:00:53.500,20:58:37.500,5.3728
00:00:54.000,20:58:38.000,5.8077
00:00:54.500,20:58:38.500,-4.149
00:00:55.000,20:58:39.000,-5.5025
00:00:55.500,20:58:39.500,-3.4074
00:00:56.000,20:58:40.000,4.0773
00:00:56.500,20:58:40.500,5.6948
00:00:57.000,20:58:41.000,5.3774
00:00:57.500,20:58:41.500,-5.652
00:00:58.000,20:58:42.000,-5.4674
00:00:58.500,20:58:42.500,-2.504
00:00:59.000,20:58:43.000,5.7802
00:00:59.500,20:58:43.500,5.7451
00:01:00.000,20:58:44.000,-2.7329
00:01:00.500,20:58:44.500,-7.1383
00:01:01.000,20:58:45.000,-4.5656
00:01:01.500,20:58:45.500,2.649
00:01:02.000,20:58:46.000,6.093
00:01:02.500,20:58:46.500,5.7253
00:01:03.000,20:58:47.000,-5.736
00:01:03.500,20:58:47.500,-6.0686
00:01:04.000,20:58:48.000,-2.3194
00:01:04.500,20:58:48.500,5.4964
00:01:05.000,20:58:49.000,6.2929
00:01:05.500,20:58:49.500,1.8189
00:01:06.000,20:58:50.000,-7.0559
00:01:06.500,20:58:50.500,-4.7685
00:01:07.000,20:58:51.000,-0.9217
00:01:07.500,20:58:51.500,5.237
00:01:08.000,20:58:52.000,6.4226
00:01:08.500,20:58:52.500,3.6668
00:01:09.000,20:58:53.000,-6.8957
00:01:09.500,20:58:53.500,-4.9074
00:01:10.000,20:58:54.000,-1.7335
00:01:10.500,20:58:54.500,1.8036
00:01:11.000,20:58:55.000,5.6139
00:01:11.500,20:58:55.500,5.7649
00:01:12.000,20:58:56.000,-3.3555
00:01:12.500,20:58:56.500,-5.6841
00:01:13.000,20:58:57.000,-2.9756
00:01:13.500,20:58:57.500,-1.03
00:01:14.000,20:58:58.000,3.7858
00:01:14.500,20:58:58.500,4.297
00:01:15.000,20:58:59.000,3.7873
00:01:15.500,20:58:59.500,-4.8112
00:01:16.000,20:59:00.000,-3.4471
00:01:16.500,20:59:00.500,-1.1948
00:01:17.000,20:59:01.000,2.2813
00:01:17.500,20:59:01.500,4.207
00:01:18.000,20:59:02.000,3.8102
00:01:18.500,20:59:02.500,-3.2289
00:01:19.000,20:59:03.000,-4.1444
00:01:19.500,20:59:03.500,-2.5468
00:01:20.000,20:59:04.000,3.412
00:01:20.500,20:59:04.500,2.8672
00:01:21.000,20:59:05.000,-1.1261
00:01:21.500,20:59:05.500,-3.6988
00:01:22.000,20:59:06.000,-2.3804
00:01:22.500,20:59:06.500,3.65
00:01:23.000,20:59:07.000,2.9344
00:01:23.500,20:59:07.500,-3.9674
00:01:24.000,20:59:08.000,-2.2141
00:01:24.500,20:59:08.500,2.8993
00:01:25.000,20:59:09.000,2.6765
00:01:25.500,20:59:09.500,-4.4893
00:01:26.000,20:59:10.000,-3.0168
00:01:26.500,20:59:10.500,1.7289
00:01:27.000,20:59:11.000,3.3341
00:01:27.500,20:59:11.500,3.9155
00:01:28.000,20:59:12.000,-2.6231
00:01:28.500,20:59:12.500,-4.4542
00:01:29.000,20:59:13.000,-2.7421
00:01:29.500,20:59:13.500,2.2752
00:01:30.000,20:59:14.000,3.676
00:01:30.500,20:59:14.500,3.1739
00:01:31.000,20:59:15.000,-4.0956
00:01:31.500,20:59:15.500,-4.2253
00:01:32.000,20:59:16.000,2.0631
00:01:32.500,20:59:16.500,5.0264
00:01:33.000,20:59:17.000,4.3352
00:01:33.500,20:59:17.500,3.824
00:01:34.000,20:59:18.000,-6.8331
00:01:34.500,20:59:18.500,-5.3591
00:01:35.000,20:59:19.000,-0.8301
00:01:35.500,20:59:19.500,5.623
00:01:36.000,20:59:20.000,5.5376
00:01:36.500,20:59:20.500,3.4303
00:01:37.000,20:59:21.000,-7.5503
00:01:37.500,20:59:21.500,-5.8702
00:01:38.000,20:59:22.000,-1.4725
00:01:38.500,20:59:22.500,5.2385
00:01:39.000,20:59:23.000,6.0045
00:01:39.500,20:59:23.500,3.1709
00:01:40.000,20:59:24.000,-6.9185
00:01:40.500,20:59:24.500,-5.298
00:01:41.000,20:59:25.000,-0.6058
00:01:41.500,20:59:25.500,2.3072
00:01:42.000,20:59:26.000,3.9262
00:01:42.500,20:59:26.500,4.2543
00:01:43.000,20:59:27.000,3.7233
00:01:43.500,20:59:27.500,-4.3474
00:01:44.000,20:59:28.000,-4.3382
00:01:44.500,20:59:28.500,0.6577
00:01:45.000,20:59:29.000,3.8453
00:01:45.500,20:59:29.500,3.5264
00:01:46.000,20:59:30.000,-2.7528
00:01:46.500,20:59:30.500,-2.9786
00:01:47.000,20:59:31.000,1.4054
00:01:47.500,20:59:31.500,3.621
00:01:48.000,20:59:32.000,3.9094
00:01:48.500,20:59:32.500,1.9059
00:01:49.000,20:59:33.000,-3.592
00:01:49.500,20:59:33.500,-2.6902
00:01:50.000,20:59:34.000,3.0137
00:01:50.500,20:59:34.500,4.1673
00:01:51.000,20:59:35.000,4.12
00:01:51.500,20:59:35.500,-1.5442
00:01:52.000,20:59:36.000,-5.4506
00:01:52.500,20:59:36.500,-3.3692
00:01:53.000,20:59:37.000,-0.7813
00:01:53.500,20:59:37.500,4.1566
00:01:54.000,20:59:38.000,4.4084
00:01:54.500,20:59:38.500,2.7726
00:01:55.000,20:59:39.000,-7.2253
00:01:55.500,20:59:39.500,-2.6643
00:01:56.000,20:59:40.000,1.5992
00:01:56.500,20:59:40.500,3.6836
00:01:57.000,20:59:41.000,4.0254
00:01:57.500,20:59:41.500,-5.472
00:01:58.000,20:59:42.000,-2.3942
00:01:58.500,20:59:42.500,1.9684
00:01:59.000,20:59:43.000,3.3372
00:01:59.500,20:59:43.500,4.152
00:02:00.000,20:59:44.000,2.4888
00:02:00.500,20:59:44.500,-5.6551
00:02:01.000,20:59:45.000,-3.0381
00:02:01.500,20:59:45.500,4.149
00:02:02.000,20:59:46.000,4.2863
00:02:02.500,20:59:46.500,3.708
00:02:03.000,20:59:47.000,-5.826
00:02:03.500,20:59:47.500,-3.7217
00:02:04.000,20:59:48.000,0.383
00:02:04.500,20:59:48.500,4.5839
00:02:05.000,20:59:49.000,5.7649
00:02:05.500,20:59:49.500,3.1312
00:02:06.000,20:59:50.000,-5.8733
00:02:06.500,20:59:50.500,-5.3835
00:02:07.000,20:59:51.000,-1.7014
00:02:07.500,20:59:51.500,2.3896
00:02:08.000,20:59:52.000,5.1088
00:02:08.500,20:59:52.500,5.6124
00:02:09.000,20:59:53.000,3.8865
00:02:09.500,20:59:53.500,-6.5096
00:02:10.000,20:59:54.000,-6.1708
00:02:10.500,20:59:54.500,-3.1159
00:02:11.000,20:59:55.000,4.4221
00:02:11.500,20:59:55.500,6.4348
00:02:12.000,20:59:56.000,4.8677
00:02:12.500,20:59:56.500,-6.2914
00:02:13.000,20:59:57.000,-6.5416
00:02:13.500,20:59:57.500,-2.3469
00:02:14.000,20:59:58.000,4.21
00:02:14.500,20:59:58.500,5.4201
00:02:15.000,20:59:59.000,5.0707
00:02:15.500,20:59:59.500,-6.2304
00:02:16.000,21:00:00.000,-5.2843
00:02:16.500,21:00:00.500,-1.764
00:02:17.000,21:00:01.000,1.6465
00:02:17.500,21:00:01.500,3.4516
00:02:18.000,21:00:02.000,3.5936
00:02:18.500,21:00:02.500,3.4547
